127.0.0.1 -- Wed Oct 31 2018 17:22:40 GMT+0800 (China Standard Time) -- POST -- /addUser?= -- 22ms
	127.0.0.1 -- Wed Oct 31 2018 17:23:15 GMT+0800 (China Standard Time) -- POST -- /addUser?= -- 5ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 16:56:48 GMT+0800 (China Standard Time) -- reqMethod:DELETE -- reqUrl:/delUser -- resTime:46085ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 17:14:33 GMT+0800 (China Standard Time) -- reqMethod:PUT -- reqUrl:/updateUser -- resTime:45ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Thu Nov 01 2018 17:19:40 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/updateUser -- resTime:25ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Thu Nov 01 2018 17:19:45 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/updateUser -- resTime:2ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 17:23:40 GMT+0800 (China Standard Time) -- reqMethod:PUT -- reqUrl:/updateUser -- resTime:38ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 17:24:50 GMT+0800 (China Standard Time) -- reqMethod:PUT -- reqUrl:/updateUser -- resTime:18ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 17:30:12 GMT+0800 (China Standard Time) -- reqMethod:PUT -- reqUrl:/updateUser -- resTime:41ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Thu Nov 01 2018 17:53:12 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/addUser/selectUser -- resTime:6ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Thu Nov 01 2018 17:54:58 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/addUser/selectUser -- resTime:5ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Thu Nov 01 2018 17:55:19 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/addUser/selectUser?id=5 -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Thu Nov 01 2018 17:55:21 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/addUser/selectUser?id=5 -- resTime:1ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 17:55:40 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:6ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 18:11:57 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:17ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 18:11:58 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:6ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:12:16 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:13ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:12:34 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:2ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:12:36 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:1ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:12:51 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:11ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:12:51 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:2ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Thu Nov 01 2018 18:35:13 GMT+0800 (China Standard Time) -- reqMethod:DELETE -- reqUrl:/delUser -- resTime:32ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:35:47 GMT+0800 (China Standard Time) -- reqMethod:DELETE -- reqUrl:/delUser -- resTime:67ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:35:52 GMT+0800 (China Standard Time) -- reqMethod:PUT -- reqUrl:/updateUser -- resTime:22ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Thu Nov 01 2018 18:35:57 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/selectUser?id=5 -- resTime:1ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Nov 20 2018 16:10:44 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/ -- resTime:20ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:03 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/offical/uploadMaterials -- resTime:6ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:10 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/a -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:12 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/a -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:25 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:28 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/a -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:29 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/a -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:36 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/a -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:47:47 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/ -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:48:03 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/ -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:48:17 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:48:19 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:48:23 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/a -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:49:11 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/a -- resTime:5ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:49:55 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/add -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 11:50:58 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add?%08%08nickName=%E5%B0%8F%E7%8C%AA%E7%8C%AA&%08phone=18868694939 -- resTime:1ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 11:55:03 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:7ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 11:55:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:19ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 11:55:52 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:165ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 11:56:32 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:32ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 11:56:53 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:32ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 11:58:22 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:38ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 11:58:38 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:35ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 11:59:23 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:38ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 11:59:40 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:31ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 12:00:01 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:35ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 12:01:14 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:34ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 12:03:12 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/add -- resTime:42ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 14:56:22 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user -- resTime:18ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 14:56:23 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user -- resTime:1ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 14:56:29 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:31ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 14:57:57 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:46ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 14:58:49 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:31ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 14:59:42 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:35ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:00:27 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:39ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:00:47 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:38ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:01:14 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:52ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:01:16 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:7ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:01:39 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:31ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:03:13 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:38ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:11:38 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:51ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:14:47 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:23ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:15:47 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:22ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:18:49 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:72ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:20:27 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:62ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:21:38 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:54ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:23:25 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:60ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:23:28 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:19ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:24:16 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:51ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 15:25:46 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:49ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:27:15 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:57ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:27:17 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:8ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:30:02 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:53ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:30:14 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:39ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 15:31:04 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user -- resTime:0ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:31:16 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:44ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:34:17 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:43ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:34:29 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:38ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:35:25 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:45ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:36:04 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:35ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:38:57 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:46ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:38:59 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:9ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 15:48:00 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:43ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 16:08:08 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:48ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:08:31 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:37ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:08:59 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:27ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:10:06 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:33ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:14:38 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:38ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:15:53 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/select?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:55ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 16:21:15 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/one?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:5ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:21:21 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/one?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:22ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:21:35 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/all?userId=adef0c2a-fcf9-11e8-bd04-078ae836c7b6 -- resTime:26ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:23:06 GMT+0800 (China Standard Time) -- reqMethod:GET -- reqUrl:/store/user/all -- resTime:30ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 16:54:48 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:60ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:02:34 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:56ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:04:10 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:64ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:04:56 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:66ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:05:08 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:40ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:20:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:27ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:20:42 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:57ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:20:55 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:14ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:21:30 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:42ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:21:35 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/edit -- resTime:11ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:18 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:20ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:20 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:1ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:21 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:29:21 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:0ms
	reqIp:127.0.0.1-- status:404 -- reqTime:Tue Dec 11 2018 17:30:04 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/ -- resTime:0ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:30:13 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:24ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:31:06 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:37ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:31:49 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:53ms
	reqIp:127.0.0.1-- status:500 -- reqTime:Tue Dec 11 2018 17:32:18 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:35ms
	reqIp:127.0.0.1-- status:200 -- reqTime:Tue Dec 11 2018 17:33:05 GMT+0800 (China Standard Time) -- reqMethod:POST -- reqUrl:/store/user/login -- resTime:40ms
